titre,numéro,mots_clefs,catégorie
La chasse aux aérosols,15/04/2023,"Aérosols -- Expériences
Gouttelettes -- Physique
Micro-organismes -- Dispersion
Air -- Microbiologie
Toilettes (Appareils sanitaires)
Photographie -- Technique
Hygiène",naturelles
La vie des gens riches et néfastes,15/04/2023,"Riches (Consommateurs)
Consommation (Économie politique) -- Aspect de l'environnement
Environnement -- Dégradation
Justice environnementale",humaines
De moins en moins d'eau dans les réservoirs,15/04/2023,"Sédimentation (Géologie)
Barrages hydroélectriques
Eau -- Approvisionnement
Ressources en eau",naturelles
Une voix unie pour la science,15/04/2023,"Gingras, Yves
Gingras, Yves. Pour l'avancement des sciences : histoire de l'ACFAS, 1923-2023
ACFAS
Sciences -- Canada -- Associations
Sciences -- Québec (Province) -- Histoire",humaines
La recherche à l'affiche,15/04/2023,"Cinéma -- Étude et enseignement (Universitaire) -- Québec (Province)
Cinéma -- Recherche -- Québec (Province)
Films documentaires -- Québec (Province)",humaines
Le dilemme de la greffe de visage,15/04/2023,"Desjardins, Maurice
Visage -- Greffe
Visage -- Greffe -- Patients -- Québec (Province)",naturelles
Génome humain,15/04/2023,"Génome humain -- Séquençage
Génétique humaine
Biais de l'expérimentateur
Variabilité génétique
Génétique des populations humaines
Maladies génétiques -- Diagnostic moléculaire -- Recherche -- Québec (Province)
Thérapie génique",naturelles
La poubelle déborde,15/04/2023,"Triom (Projet)
Viridis Environnement (Firme)
Déchets -- Québec (Province)
Déchets -- Valorisation -- Québec (Province) -- Beauce
Déchets -- Gestion intégrée -- Québec (Province)
Déchets -- Réduction -- Québec (Province)
Recyclage (Déchets, etc.) -- Québec (Province)",naturelles
Sports extrêmes... pour l'environnement?,15/03/2023,"Analyse de contenu (Communication)
Articles (Publications) -- Évaluation
Compétitions (Sports) -- Aspect de l'environnement -- Documentation -- Évaluation
Tournois (Sports et jeux) -- Aspect de l'environnement -- Documentation -- Évaluation",humaines
Pénuries de médicaments,15/03/2023,"Médicaments -- Accessibilité -- Canada
Médicaments -- Accessibilité -- Québec (Province)",humaines
Parentalité bienveillante,15/03/2023,"Éducation des enfants
Psychologie positive
Parents et enfants
Rôle parental
Condition de parents
Enfants -- Discipline",humaines
Le tour des anneaux,15/03/2023,"Anneaux planétaires -- Analyse
Anneaux planétaires -- Évolution
Astronomie -- Observations
Découvertes scientifiques",naturelles
Pour des traités plus écolos,15/03/2023,"Morin, Jean-Frédéric
Accords commerciaux -- Aspect de l'environnement",humaines
Polytechnique Montréal,15/03/2023,"École polytechnique (Montréal, Québec)
Ecoles d'ingénieurs -- Québec (Province) -- Histoire
Ingénierie -- Recherche -- Québec (Province)",humaines
Un étrange visiteur dans le Saint-Laurent,15/03/2023,"Môles -- Saint-Laurent (Fleuve)
Môles -- Moeurs et comportement",naturelles
Dans la tête des ados autistes,15/03/2023,"Autism Voices (Projet)
Adolescents autistes -- Moyens de communication
Adolescents autistes -- Éducation
Intégration scolaire",humaines
Pour une santé mondiale équitable,15/03/2023,"Pai, Madhukar
Santé mondiale -- Aspect politique
Justice sociale -- Aspect de la santé
Santé et conditions économiques -- Pays occidentaux
Santé et conditions économiques -- Pays en voie de développement
Santé et conditions sociales -- Pays occidentaux
Santé et conditions sociales -- Pays en voie de développement",humaines
Dans l'oeil du NIRISS,15/03/2023,"James-Webb (Télescope spatial)
NIRISS (Instrument)
Astronomie -- Instruments
Planètes -- Observations
Exoplanètes
Vie extraterrestre -- Recherche
Planètes habitables",naturelles
Jouer avec le feu,15/03/2023,"Syracuse Lava Project (Syracuse : New York)
Lave -- Expériences
Lave -- Chimie
Lave -- Physique
Coulées de lave",naturelles
"Pêcheur, le plus vieux métier du monde?",15/03/2023,"Homme préhistorique -- Alimentation
Fouilles (Archéologie) -- Israël
Sites archéologiques -- Israël
Restes de poissons (Archéologie)
Dents fossiles -- Analyse
Gesher Benot Ya'aqov (Israël : Site archéologique)",humaines
"1,1 mégajoule d'espoir",15/01/2023,"National Ignition Facility (Réacteur à fusion)
Fusion par laser -- États-Unis
Fusion par confinement inertiel -- États-Unis
Réacteurs à fusion -- États-Unis
Fusion nucléaire contrôlée -- États-Unis
ITER (Réacteur à fusion)
Tokamaks
Réacteurs à fusion -- France
Fusion nucléaire contrôlée -- France",naturelles
Quand la batterie électrique fait des étincelles,15/01/2023,"Gauthier, Michel
Chimistes -- Québec (Province)
Accumulateurs -- Innovations
Prix Lionel-Boulet (2022)
Prix et récompenses -- Québec (Province)",naturelles
Bonne année du mil!,15/01/2023,"Millet commun
Sorgho
Agriculture -- Facteurs climatiques",naturelles
L'incertaine restauration des milieux humides,15/01/2023,"Québec (Province). Loi concernant la conservation des milieux humides et hydriques
Réhabilitation (Écologie) -- Québec (Sud)
Milieux humides -- Conservation -- Québec (Sud)
Milieux humides -- Protection -- Québec (Sud)",naturelles
À qui la rue?,15/01/2023,"Manifestations
Lanceurs d'alerte (Scandales publics)
Scientifiques et environnement
Climat -- Changements -- Aspect politique
Désobéissance civile",humaines
Pour des garderies de qualité au Kenya,15/01/2023,"Gardiennes d'enfants -- Kenya -- Professionnalisation
Gardiennes d'enfants -- Formation -- Kenya
Gardiennage d'enfants -- Aspect économique -- Kenya
Mères -- Travail -- Kenya
Mères -- Kenya -- Conditions économiques",humaines
L'empathie varie-t-elle selon l'accent?,15/01/2023,"Français (Langue) -- Accent et accentuation -- Aspect psychologique
Français (Langue) -- Prononciation -- Aspect psychologique
Empathie -- Aspect culturel
Français -- Québec (Province) -- Montréal
Québécois -- Québec (Province) -- Montréal",humaines
Mettre en lumière l'histoire des musulmans du Canada,15/01/2023,"Musulmans -- Canada -- Histoire
Musulmans -- Archives -- Canada
Musulmans -- Aspect social -- Canada",humaines
À la rescousse des plantes rares d'Hawaïi,15/01/2023,"Mamba (Robot)
Plantes rares -- Échantillonnage -- Appareils et matériel
Plantes rares -- Protection -- États-Unis -- Hawaii
Espèces en danger -- Protection -- États-Unis -- Hawaii",naturelles
"Avons-nous tout faux sur les \bulles Facebook\""?""",15/01/2023,"Facebook (Site Internet)
Débats et controverses dans les médias sociaux
Forums (Discussions et débats)
Médias sociaux -- Aspect social
Médias sociaux -- Aspect politique
Société civile internationale
Citoyenneté mondiale",humaines
La lutte pour l'égalité,15/01/2023,"Chicha, Marie-Thérèse
Economistes -- Québec (Province)
Discrimination dans l'emploi
Prix Marie-Andrée Bertrand (2022)
Prix et récompenses -- Québec (Province)",humaines
La recette universelle de l'innovation,15/01/2023,"Aubouy, Miguel
Innovations -- Philosophie
Innovations -- Aspect social
Technologie de rupture",humaines
"Laver son linge, salir la planète",15/01/2023,"Laveries automatiques -- Europe
Vêtements -- Lavage -- Aspect de l'environnement
Vêtements -- Lavage -- Consommation d'énergie",naturelles
L'espoir à travers les branches [les recherches qui ont cours dans le réseau de l'Université du Québec sur le pouvoir des arbres contre le réchauffement climatique],15/12/2022,"Université du Québec
Forêts -- Aspect de l'environnement
Bois -- Aspect de l'environnement
Forêts -- Gestion
Gaz à effet de serre -- Réduction
Gaz carbonique -- Captage et stockage
Changements climatiques, Lutte contre les
Bioénergie",naturelles
Donner du relief aux données,15/12/2022,"Impression tridimensionnelle
Imagerie scientifique
Scientifiques handicapés -- Appareils et matériel
Appareils pour personnes aveugles
Handicapés visuels -- Impression et écriture, Systèmes d' -- Informatique",naturelles
Petits réacteurs nucléaires,15/12/2022,"Mini-réacteurs nucléaires -- Canada
Industrie nucléaire -- Canada
Transition énergétique
Ressources énergétiques -- Aspect économique",naturelles
La fois où j'ai adopté un blob,15/12/2022,"Dussutour, Audrey
Derrière le bloc, la recherche (Projet : France)
Sciences -- Participation des citoyens
Physarum polycephalum -- Effets de la température sur",humaines
Pour des soins infirmiers empreints d'humanisme,15/12/2022,"Brousseau, Sylvain
Humanisation des soins
Infirmières et patients
Soins infirmiers -- Pratique -- Canada
Soins infirmiers -- Aspect politique -- Canada
Établissements sociaux et de santé -- Administration -- Participation du personnel
Santé, Services de -- Réforme",humaines
L'identité trans ne s'attrape pas,15/12/2022,"Litman, Lisa
Distorsions cognitives
Dysphorie du genre (Sexualité) chez les adolescents
Transgenres -- Identité",humaines
Au théâtre burlesque de la science,15/12/2022,"Agnotologie -- Recherche -- Québec (Province)
Désinformation
Ignorance
Débats et controverses -- Québec (Province)
Sciences -- Aspect social",humaines
La biodiversité au coeur de la COP 15,15/12/2022,"Gonzalez, Andrew
Centre de la science de la biodiversité (Montréal, Québec)
Conférence des Nations Unies sur la biodiversité (2022 : Montréal, Québec)
Biodiversité -- Conservation -- Sommets
GÉO-BON (réseau international)",naturelles
Votre laboratoire est-il vert ou archivert?,15/12/2022,"Recherche -- Aspect de l'environnement
Laboratoires -- Aspect de l'environnement
Laboratoires -- Appareils et matériel -- Aspect de l'environnement
Déchets -- Réduction
Gaz à effet de serre -- Réduction",naturelles
Écouter l'histoire,15/12/2022,"Pardoen, Mylène
Cathédrale Notre-Dame de Paris (France)
Musicologues -- France
Environnement sonore -- Reconstitution
Archéologie musicale -- France
Acoustique architecturale
Châteaux -- Conception et construction -- Histoire
Cathédrales -- Conception et construction -- Histoire
Guédelon (France : Chantier médiéval)",humaines
Pareil pas pareil,15/12/2022,"Brunelle, François
Photographes -- Québec (Province)
Photographie -- 21e siècle -- Québec (Province) -- Thèmes, motifs
Sosies dans l'art
Sosies -- Aspect génétique
ADN
Interaction génotype-environnement
Phénotypes",humaines
L'imagerie son et lumière,15/12/2022,"Imagerie médicale
Photoacoustique",naturelles
De la souplesse de l'ADN,15/12/2022,"Nanobiotechnologie
ADN nucléaire
Chromosomes",naturelles
L'intelligence artificielle à l'africaine,15/12/2022,"Observatoire africain de l'intelligence artificielle
Intelligence artificielle -- Afrique
Intelligence artificielle -- Recherche -- Afrique
Distorsions cognitives",naturelles
Lévitation fantastique,15/10/2022,Lévitation acoustique,naturelles
Faut-il cesser de construire des maisons neuves?,15/10/2022,"Pearl, Daniel
Rénovation urbaine -- Québec (Province)
Quartiers durables -- Conception et construction
Densité de construction
Architecture -- Approche communautaire
Architecture et économies d'énergie",humaines
Les momies du Yukon,15/10/2022,"Fouilles (Paléontologie) -- Yukon
Mammouth laineux -- Yukon
Animaux momifiés -- Yujon
Mammifères fossiles -- Yukon",naturelles
Une moisson de données,15/10/2022,"Agriculteurs et technologie de l'information -- Québec (Province)
Agriculture -- Informatique -- Québec (Province)
Agriculture -- Technologie appropriée -- Québec (Province)
Agriculture de précision -- Québec (Province)
Agriculture -- Prise de décision",naturelles
Grosse et magnifique,15/10/2022,"Bactéries géantes
Sulfobactéries",naturelles
Réinventer l'avion en plein vol,15/10/2022,"Transports aériens -- Aspect de l'environnement
Avions -- Carburants -- Aspect de l'environnement
Avions -- Conception et construction -- Aspect de l'environnement",naturelles
"Facile, tailler un galet?",15/10/2022,"Archéologie expérimentale
Outils préhistoriques
Homme préhistorique",humaines
Grandeur nature miniature,15/10/2022,"Aquariums
Poissons d'aquarium -- Élevage -- Québec (Province)
Milieux aquatiques -- Expériences",naturelles
"L'Arctique, nouveau terrain de jeu du castor",15/10/2022,"Castors -- Facteurs climatiques -- Canada
Réchauffement de la terre -- Aspect de l'environnement -- Canada
Climat -- Changements -- Aspect de l'environnement -- Canada
Castors -- Aspect de l'environnement -- Canada (Nord)",naturelles
Petit manuel scientifique de révolution sociale,15/10/2022,"Plateforme intergouvernementale scientifique et politique sur la biodiversité et les services écosystémiques
Biodiversité -- Conservation
Anthropocentrisme
Êtres humains et nature",humaines
Une place au soleil,15/09/2022,"Femmes scientifiques -- Travail -- Mexique
Femmes autochtones -- Scolarité -- Mexique
Sciences -- Étude et enseignement (Universitaire) -- Mexique
Sciences -- Bourses d'études
Postdoctorat -- Programmes d'études -- Coopération internationale
Enseignement supérieur -- Accessibilité -- Mexique",humaines
Fracasser le mur du temps grâce à l'ADN,15/09/2022,"Family TreeDNA (Site Internet)
Génétique et généalogie
Empreintes génétiques
Chromosome Y
ADN mitochondrial
Pionniers -- Québec (Province)",naturelles
La garde-robe de l'histoire,15/09/2022,"Textiles et tissus préhistoriques
Vêtements -- Fabrication
Vêtements -- Histoire
Fouilles (Archéologie)",humaines
Et si l'on abaissait l'âge du droit de vote?,15/09/2022,"Mahéo, Valérie-Anne
Âge de voter
Droit de vote
Jeunesse et politique -- Québec (Province)",humaines
Le côté obscur de la force,15/09/2022,"Énergie sombre (Astronomie)
Astronomie -- Instruments
Cosmologie
Astronomie -- Observations",naturelles
Un inventaire des semences d'antan,15/09/2022,"Plantes -- Variétés anciennes -- Collections et conservation
Semences -- Collections et conservation
Banques de semences
Aliments -- Approvisionnement
Diversité végétale -- Conservation",naturelles
La revanche des nerds,15/09/2022,"Sciences naturelles -- Étude et enseignement (Collégial) -- Québec (Province)
Jeunesse et sciences -- Québec (Province)",humaines
La recherche top secrète,15/09/2022,"Canada. Ministère de la Défense nationale. Centre de recherche pour la défense Valcartier
Défense nationale -- Recherche -- Canada
Interaction êtres humains-ordinateur -- Canada
Surveillance électronique -- Canada",naturelles
Un sous-marin à hôpital,15/09/2022,Chambres implantables (Médecine),naturelles
Naître à l'ombre d'un puits de gaz de schiste,15/09/2022,"Nouveau-nés -- Santé
Gaz de schiste
Gaz naturel -- Exploitation -- Aspect de l'environnement
Exposition (Toxicologie)",naturelles
Les dinosaures polaires,15/09/2022,"Dinosaures -- Régions polaires
Paléontologie -- Jurassique
Paléontologie -- Crétacé
Espèces endémiques -- Régions polaires
Thermorégulation",naturelles
"DALL-E, dessine-moi un mouton",15/07/2022,"Intelligence artificielle
Analyse du discours -- Informatique
Images informatiques",humaines
Polluants sans frontières,15/07/2022,"Langlois, Valérie
Centre intersectoriel d'analyse des perturbateurs endocriniens
Toxicologie endocrinienne
Polluants
Substances dangereuses
Pollution, Lutte contre la",naturelles
La rébellion du boson W,15/07/2022,"Fermilab (États-Unis)
Physique des particules
Bosons W
Bosons -- Masse
Modèle standard (Physique des particules)
Physique théorique",naturelles
La fin des héros verts?,15/07/2022,"Environnement -- Philosophie
Défenseurs de l'environnement
Leadership
Environnement -- Protection
Transition écologique -- Participation des citoyens",humaines
Du sable dans l'engrenage,15/07/2022,"Sable marin
Sable -- Approvisionnement
Sable -- Mines et extraction -- Aspect de l'environnement
Plages -- Érosion",naturelles
Sous le charme des insectes,15/07/2022,"Insectarium de Montréal
Entomologie -- Musées -- Québec (Province) -- Montréal
Insectes -- Collections et conservation -- Québec (Province) -- Montréal",naturelles
Pet et répète s'en vont au labo,15/07/2022,"Rire -- Histoire
Communication animale
Rire -- Aspect physiologique
Rire -- Aspect psychologique
Rire -- Aspect social
Rire chez l'enfant",humaines
Révisons le système de révision,15/07/2022,"Bénévolat
Scientifiques -- Évaluation par les pairs
Sciences -- Documentation
Chercheurs -- Pratique de publication",humaines
"Je vous présente l'Endurance!""""",15/07/2022,"Vincent, Nicolas
Shackleton, Ernest Henry
Endurance (Navire)
Fouilles sous-marines (Archéologie) -- Antarctique -- Weddell, Mer de
Épaves -- Antarctique -- Weddell, Mer de
Expéditions scientifiques -- Antarctique
Antarctique -- Découverte et exploration britanniques",humaines
Cancer du sein,15/06/2022,"Programme de dépistage du cancer du sein (Québec)
Sein -- Cancer, Lutte contre le -- Québec (Province)
Sein -- Cancer -- Dépistage -- Québec (Province)
Sein -- Cancer -- Diagnostic",naturelles
Les touche-à-tout ont-ils raison?,15/06/2022,"Spécialistes
Créateurs
Savoirs
Curiosité",humaines
"Lacs bien-aimés, lacs malmenés",15/06/2022,"Lacs -- Québec (Province)
Écologie des lacs -- Québec (Province)
Décontamination des cours d'eau, lacs, etc. -- Québec (Province)
Eutrophisation, Lutte contre l' -- Québec (Province)",naturelles
Le mystère biodynamique,15/06/2022,"Agriculture biodynamique
Viticulture biologique
Vin -- Qualité",naturelles
"Une découverte récrit l'histoire d'\Homo Sapiens\"" en Europe""",15/06/2022,"Outils préhistoriques
Dents fossiles
Êtres humains
Homme de Néanderthal
Cavernes -- France -- Drôme
Fouilles (Archéologie) -- France -- Drôme
Homme préhistorique
Préhistoire -- Europe",humaines
Un poison à l'origine de la vie sur terre?,15/06/2022,"Cyanure
Catalyseurs
Vie (Biologie) -- Origines",naturelles
L'esthétique des données,15/06/2022,"Lemmens, Marilou
Duos d'artistes -- Québec (Province)
Sciences dans l'art
Installations (Art) -- Québec (Province)",humaines
"Le consommateur, cet être complexe",15/06/2022,"Guèvremont, Amélie
Consommateurs -- Comportement -- Recherche
Produits commerciaux -- Gestion",humaines
"Mort aux rats, vive les rats!",15/06/2022,"Rats -- Populations -- Recherche
Rats, Lutte contre les
Rats -- Moeurs et comportement
Animaux sauvages dans les villes -- Adaptation",naturelles
VIH,15/06/2022,"Routy, Jean-Pierre
Sida -- Recherche
Sida -- Traitement
Sidéens -- Soins médicaux",naturelles
La géopolitique dicte-t-elle notre avenir climatique?,15/06/2022,"Transition énergétique -- Aspect politique
Changements climatiques, Lutte contre les -- Aspect politique",humaines
À vos souhaits!,15/04/2022,"Rhume des foins -- Recherche -- Québec (Province) -- Montréal
Rhume des foins -- Étiologie et facteurs de risque
Arbres dans les villes -- Aspect de la santé
Pollen -- Identification
Palynologie -- Québec (Province) -- Montréal",naturelles
"L'économie, cette soupe d'atomes",15/04/2022,"Bouchaud, Jean-Philippe
Économie -- Modèles
Physique statistique
Économie politique -- Philosophie",humaines
Plongée dans le métavers,15/04/2022,"Métavers
Réalité virtuelle
Réalité augmentée
Technologie de l'information -- Aspect moral
Éthique appliquée",humaines
À la recherche du pois chiche parfait,15/04/2022,"Hoyos-Villegas, Valerio
Pois chiche -- Recherche -- Canada
Pois chiche -- Recherche -- Québec (Province)
Pois chiche -- Amélioration
Pois chiche -- Génétique",naturelles
Big brother en forêt,15/04/2022,"Pièges photographiques
Faune forestière -- Observation
Faune forestière -- Recherche -- Québec (Province)",naturelles
La loi du désert,15/04/2022,"Matériaux granulaires
Sable -- Physique
Physique de l'état granulaire",naturelles
Voyage au centre de la galaxie,15/04/2022,"Centre galactique
Trous noirs (Astronomie) -- Observations
Sagittarius A* (Astronomie)
Voie lactée -- Observations",naturelles
"Raviver le passé, un objet à la fois",15/04/2022,"Archéologie expérimentale -- Québec (Province)
Premières nations -- Antiquités
Reconstitution historique
Apprentissage expérientiel
Outils préhistoriques
Fouilles (Archéologie) -- Québec (Province)",humaines
Dans les dédales de la honte,15/03/2022,Honte -- Recherche,humaines
Vers des gins québécois encore plus québécois,15/03/2022,"Genévriers -- Québec (Province)
Gin -- Québec (Province)",naturelles
Le Québec semi-précieux,15/03/2022,"Pierres précieuses -- Québec (Province)
Pierres fines -- Québec (Province)",naturelles
Medicago,15/03/2022,"Charland, Nathalie
Medicago (Firme)
Vaccins -- Recherche
Moléculture -- Québec (Province)
Covid-19 -- Vaccination
Covid-19 -- Lutte contre la",naturelles
Une solution au traitement des boues municipales à Sorel-Tracy,15/03/2022,"Centre de transfert technologique en écologie industrielle (Québec)
Oxydation par voie humide
Boues d'épuration -- Traitement",naturelles
La décroissance est-elle un passage obligé?,15/03/2022,"Décroissance soutenable
Changements climatiques, Lutte contre les",humaines
"La dépression, pas qu'entre les deux oreilles",15/03/2022,"Ménard, Caroline
Stress -- Aspect physiologique
Inflammation (Pathologie)
Dépression -- Étiologie et facteurs de risque",naturelles
L'art de la mesure,15/03/2022,"Bureau international des poids et mesures (Paris, France)
Métrologie -- Histoire
Système métrique
Unités de mesure",humaines
Oiseaux de nuit,15/01/2022,"Observatoire d'oiseaux de McGill (Sainte-Anne-de-Bellevue, Québec)
Animaux sauvages -- Capture
Oiseaux -- Baguage
Petite nyctale -- Recherche",naturelles
Les mathématiques à l'endroit et à l'envers,15/01/2022,"Matsumoto, Elisabetta
Institut de technologie de Géorgie
Tricot -- Mathématiques
Noeuds, Théorie des",naturelles
L'énigme neutrinos (ou la raison de notre existence),15/01/2022,"Neutrinos -- Recherche
Matière
Antimatière
Asymétrie (Physique)",naturelles
Sur les traces des Sadlermiuts,15/01/2022,"Sadlermiuts (Inuit)
Premières nations -- Canada (Nord) -- Moeurs et coutumes -- Histoire
Sadlermiuts (Inuit) -- Recherche",humaines
A-t-on besoin d'une police scientifique?,15/01/2022,"Infections à coronavirus -- Recherche
Infections à coronavirus -- Traitement
Chercheurs -- Pratique de publication
Sciences -- Documentation -- Évaluation
Conflits d'intérêts
Sciences -- Méthodologie",humaines
Médecins,15/01/2022,"Posologie -- Diminution
Médicaments -- Prescription
Personnes âgées -- Consommation de médicaments",naturelles
Et si l'optimisme était permis?,15/01/2022,"Année 2021
Environnement -- Protection
Changements climatiques, Lutte contre les",naturelles
Les mégadonnées à échelle humaine,15/12/2021,"Sciences humaines -- Informatique
Science des données
Données volumineuses -- Aspect social
Exploration de données (Informatique) -- Aspect social
Analyse du comportement des internautes (Informatique)
Sciences humaines -- Recherche",humaines
Alerte aux cochons sauvages!,15/12/2021,"Porcs -- Populations -- Canada
Porcs -- Distribution géographique
Animaux et plantes nuisibles -- Canada
Porcs -- Populations -- Québec (Province)",naturelles
Devoir de mémoire,15/12/2021,"Angarita, Maria Juliana
Musée colombien de la mémoire historique (Colombie)
Mémoire collective -- Colombie
Consolidation de la paix -- Colombie
Muséologie -- Aspect politique",humaines
Paludisme,15/12/2021,"Vaccins contre le paludisme -- Recherche
Vaccins à ARN messager",naturelles
Le handicap de la société,15/12/2021,"Lajoie, Corinne
Discrimination à l'égard des handicapés
Handicap -- Aspect social",humaines
L'ABC des NFT,15/12/2021,"Jetons non fongibles
Mèmes Internet
Internet -- Aspect économique
Commerce électronique
Magasins virtuels
Achat sur Internet
Cryptomonnaie",humaines
Au coeur des flocons,15/12/2021,"Cristaux de neige -- Photographies
Cristaux de neige -- Physique",naturelles
Planer pour guérir,15/12/2021,"Psychotropes -- Emploi en thérapeutique
Psychotropes -- Recherche
Psychotropes -- Efficacité",naturelles
Enfin!,15/10/2021,"James-Webb (Télescope spatial)
Télescopes spatiaux -- États-Unis
Télescopes géants -- États-Unis
Satellites artificiels en astronomie",naturelles
Dans la tête des migraineux,15/10/2021,"Art et troubles de la vision
Migraine -- Patients
Vision, Troubles de la",naturelles
Des technos qui redonnent espoir en l'avenir,15/10/2021,"Inventions -- Québec (Province)
Entreprises créées par des scientifiques -- Québec (Province)
Nouvelles entreprises -- Québec (Province)
Milieux innovateurs (Économie) -- Québec (Province)
Innovations technologiques et industrielles -- Québec (Province)",naturelles
Motivateur en chef,15/10/2021,"Sirois, Luc
Innovations -- Québec (Province)",naturelles
